lat,lon
21.630792,-158.048553
3.976367,11.60412
18.52043,73.856744
20.869368,-156.454895
6.224182,80.113837
6.3,80.9
18.481843,73.810617
19.366463,72.815514
24.0567,90.2392
24.0556,90.2406
24.0556,90.2392
24.055,90.2395
24.0548,90.2392
24.0575,90.24
24.0578,90.2383
24.0581,90.2375
24.057,90.2383
24.0572,90.2395
24.0567,90.24
24.0578,90.2392
24.0586,90.2392
24.0606,90.2375
24.0603,90.2378
24.0597,90.2383
24.0603,90.2392
24.0597,90.2395
24.0594,90.2389
24.0592,90.24
24.3911,90.1711
24.3911,90.1703
24.392,90.1714
24.3917,90.1706
24.3925,90.1728
24.392,90.17
24.3917,90.17
24.3925,90.1703
24.3923,90.1695
24.3911,90.1722
24.392,90.1731
24.3931,90.1728
24.3933,90.1706
24.3931,90.1697
24.3928,90.1728
24.3928,90.1703
24.3928,90.1692
24.3936,90.172
24.3928,90.1714
24.3933,90.1711
24.3847,90.2136
24.3842,90.2128
24.385,90.2167
24.3831,90.2145
24.3825,90.217
24.3817,89.2167
24.3825,90.2328
24.3842,90.2156
24.3842,90.2142
24.3828,90.2161
24.3825,90.2158
21.644105,-158.056747
23.1186,91.9778
23.1186,91.9775
23.1186,91.9769
23.1184,91.9781
23.1181,91.9767
23.1181,91.9781
23.1199,91.9774
23.1195,91.9775
23.1195,91.9772
23.1192,91.9778
23.1192,91.9772
23.1192,91.9775
23.1189,91.9778
23.1103,91.9756
23.0947,91.9764
23.1109,91.9756
23.1103,91.9764
23.0778,91.9342
23.077,91.9349
23.0773,91.9352
23.0776,91.9352
23.0785,91.9336
23.0784,91.9353
23.0783,91.935
23.078,91.9347
23.079,91.9353
23.0782,91.9352
23.0787,91.9353
23.0786,91.935
23.0952,91.9725
23.0955,91.9725
23.0972,91.9709
23.0968,91.9706
23.0965,91.9714
23.0962,91.9722
23.0961,91.972
23.0956,91.9728
23.0959,91.9722
23.0958,91.9728
23.1172,91.9781
23.1175,91.9775
23.1178,91.9778
23.1181,91.9772
23.1178,91.977
23.2895,91.907
23.29,91.9072
23.2903,91.9075
23.2906,91.9073
23.2909,91.9078
23.2909,91.9072
23.2906,91.9083
23.2911,91.9072
23.2911,91.9086
23.2909,91.9086
23.2914,91.9078
23.2911,91.9078
23.2914,91.9084
23.2914,91.9086
23.2917,91.9084
22.5009,92.1927
22.5009,92.1981
22.5011,92.1934
22.5008,92.1984
22.5008,92.1931
22.5006,92.1972
22.5006,92.1945
22.5006,92.1947
22.5017,92.2036
22.5017,92.2028
22.505,92.1917
22.5036,92.1914
22.502,92.1986
22.5067,92.1903
22.5039,92.1914
22.5017,92.2008
22.5022,92.192
22.5022,92.1956
22.5061,92.1911
22.5028,92.192
22.5072,92.1886
22.5056,92.1908
22.5078,92.1897
22.5089,92.1925
22.5014,92.1986
22.5014,92.1967
22.5011,92.2011
22.5011,92.1986
25.5322,88.542
25.5347,88.5411
25.5322,88.5425
25.5342,88.542
25.5317,88.5434
25.5317,88.5436
25.5328,88.5409
25.5349,88.5422
25.5328,88.5411
25.5322,88.5417
25.5342,88.5406
25.5322,88.5414
25.5309,88.5436
25.535,88.5395
25.5345,88.5414
25.5353,88.5417
25.5331,88.5414
25.5345,88.5422
25.532,88.5428
25.5342,88.5397
25.5353,88.5406
25.535,88.5417
25.5356,88.5411
25.5356,88.5397
25.5622,88.5392
25.5628,88.5395
25.5356,88.5409
25.5567,88.6253
25.5522,88.5083
25.5517,88.6247
25.55,88.622
25.5589,88.6256
25.8886,88.5636
